name,size,time,comparisons
quicksort,507000,0.046878,5361646
quicksort,508000,0.045648,5759023
quicksort,509000,0.044684,6108894
quicksort,510000,0.050329,5874536
quicksort,511000,0.044054,6067054
quicksort,512000,0.047703,5891655
quicksort,513000,0.043581,6116053
quicksort,514000,0.045240,6527367
quicksort,515000,0.050635,5797784
quicksort,516000,0.044435,5945951
quicksort,517000,0.044075,5580130
quicksort,518000,0.046851,6418089
quicksort,519000,0.042942,6581886
quicksort,520000,0.048764,6285926
quicksort,521000,0.044753,5709443
quicksort,522000,0.050381,6304291
quicksort,523000,0.044169,6315493
quicksort,524000,0.045677,5806543
quicksort,525000,0.045783,6518821
quicksort,526000,0.046236,5892777
quicksort,527000,0.044445,6148417
quicksort,528000,0.045392,6451461
quicksort,529000,0.045285,6040905
quicksort,530000,0.046788,6614411
quicksort,531000,0.045160,5989171
quicksort,532000,0.047553,6317147
quicksort,533000,0.045135,6552413
quicksort,534000,0.049543,6029609
quicksort,535000,0.045590,6639083
quicksort,536000,0.046951,6492486
quicksort,537000,0.046104,6168894
quicksort,538000,0.048022,6489835
quicksort,539000,0.046061,6168063
quicksort,540000,0.054088,6701129
quicksort,541000,0.057740,6064167
quicksort,542000,0.046585,6094383
quicksort,543000,0.046009,6574529
quicksort,544000,0.047741,6604974
quicksort,545000,0.046587,5861208
quicksort,546000,0.050757,6218741
quicksort,547000,0.046346,6452425
quicksort,548000,0.048341,6246129
quicksort,549000,0.047641,6583705
quicksort,550000,0.047616,7145759
quicksort,551000,0.046958,6375397
quicksort,552000,0.051031,6043545
quicksort,553000,0.047062,6497519
quicksort,554000,0.050103,6238575
quicksort,555000,0.046355,6455491
quicksort,556000,0.050457,6184259
quicksort,557000,0.048130,6262921
quicksort,558000,0.048926,6443287
quicksort,559000,0.047541,7047164
quicksort,560000,0.048580,6246925
quicksort,561000,0.047514,6886127
quicksort,562000,0.048301,6390617
quicksort,563000,0.047305,6729851
quicksort,564000,0.050216,6270556
quicksort,565000,0.049096,6728119
quicksort,566000,0.048736,6531643
quicksort,567000,0.049977,7046862
quicksort,568000,0.049268,6971234
quicksort,569000,0.048885,6836249
quicksort,570000,0.048466,7149065
quicksort,571000,0.048984,6426207
quicksort,572000,0.050061,6200963
quicksort,573000,0.049284,6928758
quicksort,574000,0.055449,6771243
quicksort,575000,0.050436,6695948
quicksort,576000,0.049628,6839731
